iter	Passed	Remaining
401	14826	3614
402	14863	3577
403	14901	3541
404	14937	3503
405	14972	3466
406	15010	3429
407	15044	3392
408	15082	3355
409	15119	3318
410	15155	3281
411	15191	3244
412	15229	3208
413	15263	3170
414	15300	3133
415	15334	3096
416	15368	3059
417	15402	3021
418	15438	2984
419	15472	2947
420	15508	2910
421	15542	2872
422	15576	2835
423	15612	2798
424	15648	2761
425	15683	2724
426	15718	2687
427	15753	2650
428	15786	2612
429	15822	2575
430	15856	2538
431	15890	2501
432	15924	2464
433	15959	2427
434	15992	2389
435	16028	2352
436	16064	2315
437	16098	2278
438	16133	2241
439	16168	2204
440	16203	2167
441	16237	2130
442	16272	2093
443	16308	2056
444	16343	2020
445	16377	1982
446	16412	1945
447	16445	1908
448	16481	1872
449	16514	1834
450	16550	1798
451	16584	1761
452	16618	1724
453	16652	1687
454	16686	1650
455	16720	1613
456	16755	1576
457	16790	1539
458	16824	1502
459	16859	1466
460	16894	1429
461	16928	1392
462	16963	1355
463	16997	1318
464	17033	1282
465	17065	1245
466	17102	1208
467	17135	1171
468	17170	1134
469	17206	1098
470	17239	1061
471	17275	1024
472	17309	988
473	17343	951
474	17378	914
475	17411	877
476	17445	841
477	17483	804
478	17516	767
479	17550	731
480	17585	694
481	17619	658
482	17654	621
483	17688	584
484	17722	548
485	17757	511
486	17791	474
487	17825	438
488	17862	401
489	17896	365
490	17931	328
491	17966	292
492	18006	255
493	18040	219
494	18074	182
495	18111	146
496	18146	109
497	18181	73
498	18214	36
499	18249	0
