iter	Logloss
0	0.6907300133
1	0.6879530609
2	0.6851946837
3	0.6819228234
4	0.6781173035
5	0.6751313406
6	0.6734106544
7	0.6708829791
8	0.668777174
9	0.6666890271
10	0.6648240339
11	0.6622418493
12	0.6601686942
13	0.6576059554
14	0.655935485
15	0.65346015
16	0.651366489
17	0.6485078233
18	0.6461627029
19	0.6442176187
20	0.641969668
21	0.6393386798
22	0.6374123771
23	0.6362629265
24	0.634832115
25	0.6333103409
26	0.6310652446
27	0.6290643625
28	0.6273478006
29	0.6255753067
30	0.6233339063
31	0.6210431689
32	0.6193847282
33	0.6174178624
34	0.6150018923
35	0.6138660474
36	0.6119318345
37	0.6098193342
38	0.6079122327
39	0.6058281895
40	0.6038741033
41	0.6015661179
42	0.5990298839
43	0.5958116373
44	0.5927540541
45	0.5911242839
46	0.5898202078
47	0.588246908
48	0.5859097467
49	0.5844400192
50	0.582745016
51	0.5808170034
52	0.5796106377
53	0.5781607741
54	0.5761958912
55	0.5742253732
56	0.572225271
57	0.5704007549
58	0.5682532153
59	0.5668753414
60	0.5652416829
61	0.5641072307
62	0.5628848797
63	0.5607225536
64	0.5589674696
65	0.5574502737
66	0.555428756
67	0.5540294095
68	0.5518708782
69	0.5508878733
70	0.5488738921
71	0.547676058
72	0.5461718677
73	0.5442759549
74	0.542057528
75	0.5402766543
76	0.5384887985
77	0.5366953542
78	0.5346802185
79	0.5333384378
80	0.5313851193
81	0.5301157934
82	0.528671488
83	0.5276975312
84	0.5264052536
85	0.5252229266
86	0.5234704048
87	0.521993811
88	0.5199440393
89	0.5177752215
90	0.5168697875
91	0.5161583979
92	0.5148655614
93	0.513647523
94	0.5115710555
95	0.5090620188
96	0.5071965592
97	0.5059576914
98	0.5040504216
99	0.502405954
100	0.5011188799
101	0.4991458274
102	0.4979415764
103	0.4961806341
104	0.4946643182
105	0.4926422866
106	0.4916407654
107	0.4899890975
108	0.4884833578
109	0.487384087
110	0.4854490062
111	0.4838741722
112	0.4824778497
113	0.4806725221
114	0.4795161988
115	0.4779085663
116	0.476880301
117	0.4751533302
118	0.4743263422
119	0.4731909035
120	0.4720757199
121	0.469838984
122	0.4680860256
123	0.4664598685
124	0.4644733831
125	0.4634489646
126	0.4627291788
127	0.460933779
128	0.4590237006
129	0.4568609488
130	0.455239882
131	0.4538112818
132	0.4525309302
133	0.4516544788
134	0.4497129867
135	0.4482197972
136	0.4474696838
137	0.4464301197
138	0.4444320811
139	0.4431403199
140	0.4410532812
141	0.4390882524
142	0.4373492328
143	0.4363072224
144	0.4347665683
145	0.4338648315
146	0.4316602245
147	0.4303841056
148	0.4290699888
149	0.4275045598
150	0.4262368966
151	0.4244300554
152	0.4222723908
153	0.4210463738
154	0.4199162634
155	0.4177509968
156	0.4164949238
157	0.4148622425
158	0.413628563
159	0.411715735
160	0.4105137654
161	0.4082152367
162	0.406627766
163	0.4046193728
164	0.4029235301
165	0.4013552331
166	0.3998578581
167	0.3971203636
168	0.3956398843
169	0.3940614841
170	0.392929768
171	0.39148971
172	0.3898469345
173	0.3879696798
174	0.3862405019
175	0.3838130701
176	0.3814203711
177	0.3803093848
178	0.3786779263
179	0.3770543332
180	0.3753010936
181	0.3733295415
182	0.3714454202
183	0.3691953468
184	0.3675988892
185	0.3659248792
186	0.3647303317
187	0.362923543
188	0.3613619789
189	0.3596813772
190	0.358145476
191	0.3568582531
192	0.3548096332
193	0.3537160195
194	0.3516417623
195	0.3495468385
196	0.347720079
197	0.34634133
198	0.3446685465
199	0.3434158523
200	0.3420298998
201	0.3403553882
202	0.338847904
203	0.3371541834
204	0.3358395188
205	0.3341066312
206	0.3333338337
207	0.3320833813
208	0.3305264538
209	0.3293108274
210	0.3277355529
211	0.325660914
212	0.324022848
213	0.3222414167
214	0.3206905459
215	0.3190777283
216	0.3175264318
217	0.3160303955
218	0.3141738378
219	0.3128831291
220	0.3110218481
221	0.3099081676
222	0.308525623
223	0.3074789178
224	0.3059759576
225	0.3046889115
226	0.30332018
227	0.3016123492
228	0.299959832
229	0.2982477787
230	0.2968963172
231	0.295121596
232	0.2934748966
233	0.2919964633
234	0.2907938195
235	0.2893136846
236	0.2880073835
237	0.2865780295
238	0.2851298502
239	0.2836501122
240	0.2825118125
241	0.2812450341
242	0.2800396154
243	0.2783801675
244	0.276515908
245	0.2754673143
246	0.2740883071
247	0.2731511778
248	0.2717098618
249	0.2706197203
250	0.2692651843
251	0.2681765305
252	0.2670414629
253	0.2654280012
254	0.2641844896
255	0.2625712612
256	0.2610133358
257	0.2597720565
258	0.2586391456
259	0.2570943263
260	0.2560217953
261	0.2549554497
262	0.2539107608
263	0.252814044
264	0.2513069163
265	0.250311892
266	0.2487304985
267	0.247893173
268	0.2468063942
269	0.2455966993
270	0.2444301528
271	0.2429568418
272	0.2414937146
273	0.2402802689
274	0.2390029451
275	0.2377369636
276	0.2363959744
277	0.2354527099
278	0.2338771527
279	0.2324496358
280	0.2315914983
281	0.2306575303
282	0.2293631061
283	0.2283492487
284	0.227752389
285	0.2269645826
286	0.2258329051
287	0.2247108611
288	0.2240570192
289	0.2233623401
290	0.2223306438
291	0.2214901006
292	0.2209356914
293	0.2201308781
294	0.2188872682
295	0.2177533119
296	0.2167415974
297	0.2157470806
298	0.2150583922
299	0.2139326758
300	0.2129220922
301	0.2124858221
302	0.2116307154
303	0.2107540707
304	0.2099730589
305	0.2088063525
306	0.2080161876
307	0.2070031547
308	0.2062138868
309	0.2054469801
310	0.2044415975
311	0.2033096004
312	0.2024819168
313	0.2015642162
314	0.2004694538
315	0.1997086747
316	0.1989349575
317	0.1981944106
318	0.1972945916
319	0.1961117388
320	0.1952535862
321	0.1944657456
322	0.1935375146
323	0.1924517628
324	0.1915904601
325	0.1910312729
326	0.1903257068
327	0.1897171842
328	0.1886954577
329	0.1879435141
330	0.187224272
331	0.1862529102
332	0.1855925431
333	0.1848370251
334	0.1838618688
335	0.18295526
336	0.1823385028
337	0.181663771
338	0.1809824335
339	0.1800383552
340	0.1793137607
341	0.178266169
342	0.1776682163
343	0.1770010575
344	0.1763092922
345	0.1753918265
346	0.1744100761
347	0.1735575209
348	0.1724727386
349	0.1716445491
350	0.1709060346
351	0.1700506992
352	0.1690341232
353	0.1683056601
354	0.1675807229
355	0.1668504025
356	0.1661726955
357	0.1655106224
358	0.1647970474
359	0.1639765877
360	0.163205643
361	0.1623613609
362	0.1614071107
363	0.1610141948
364	0.1604001307
365	0.1596186127
366	0.1592726537
367	0.1587152227
368	0.1582350689
369	0.1576494844
370	0.1568558828
371	0.1562904295
372	0.1557089851
373	0.1551656985
374	0.1545197785
375	0.1539375544
376	0.1534667339
377	0.1527561196
378	0.1524406221
379	0.1519625097
380	0.1514532478
381	0.1510183056
382	0.1504401754
383	0.1499043032
384	0.1491880751
385	0.1485930622
386	0.14795416
387	0.1474784028
388	0.1467448971
389	0.145942903
390	0.1453463702
391	0.1447101339
392	0.1441186194
393	0.1436751164
394	0.1430609521
395	0.1426156264
396	0.1420756666
397	0.1413666915
398	0.1408380352
399	0.1402146352
400	0.1395345979
401	0.1388642948
402	0.1383343087
403	0.1376280487
404	0.1368109006
405	0.1362456644
406	0.1355635635
407	0.1350686901
408	0.134643515
409	0.1341459991
410	0.133579454
411	0.1330358314
412	0.1324338174
413	0.1318422482
414	0.1314943077
415	0.1309311533
416	0.1305169055
417	0.1300029782
418	0.1294848812
419	0.129044373
420	0.1285642015
421	0.1280415577
422	0.1275560852
423	0.1270305626
424	0.126457323
425	0.1257784352
426	0.1253103167
